"","country_name","covid_deaths","expected_deaths"
"1","Italy",0,14968.0308988771
"2","Italy",0,15297.5308988765
"3","Italy",0,15125.1975655432
"4","Italy",0,14664.8642322099
"5","Italy",0,14562.5308988766
"6","Italy",0,14107.1975655432
"7","Italy",0,13989.8642322099
"8","Italy",3,13708.3642322099
"9","Italy",31,13724.0370786518
"10","Italy",332,13428.4370786518
"11","Italy",1443,13062.2370786518
"12","Italy",3667,12559.8370786518
"13","Italy",5303,12515.0370786518
"14","Italy",5108,12246.8370786518
"15","Italy",4012,12021.8370786518
"16","Italy",3761,11831.4370786518
"17","Italy",2984,11644.0370786518
"18","Italy",2240,11463.6370786518
"19","Italy",1676,11466.4370786518
"20","Italy",1348,11131.4370786518
"21","Italy",877,11239.6370786518
"22","Italy",630,11011.2370786518
"23","Italy",484,11274.0370786518
"24","Italy",446,11185.0370786518
"25","Italy",289,11051.2370786518
"26","Italy",135,11116.2370786518
"27","Italy",123,11379.4370786518
"28","Italy",93,11622.8370786518
"29","Italy",91,11386.8370786518
"30","Italy",62,11797.8370786518
"31","Italy",47,11687.4370786518
"32","Italy",51,12040.6370786518
"33","Italy",191,11227.6370786518
"34","Italy",41,10822.8370786518
"35","Italy",40,10775.6370786518
"36","Italy",64,10594.8370786518
"37","Italy",69,10653.6370786518
"38","Italy",97,10776.8370786518
"39","Italy",128,10854.2370786518
"40","Italy",151,11106.2370786518
"41","Italy",180,11639.2370786518
"42","Italy",377,11520.8370786518
"43","Italy",795,11676.8370786518
"44","Italy",1488,11431.4370786518
"45","Italy",2568,11733.4370786518
"46","Italy",3835,11932.8370786518
"47","Italy",4594,11979.6370786518
"48","Italy",5081,12011.6370786518
"49","Italy",5174,12375.2370786518
"50","Italy",4442,12778.4370786518
"51","Italy",4279,13244.6370786518
"52","Italy",3126,13794.8370786518
"53","Italy",3407,13651.2078651687
"54","Italy",3423,14911.0432584276
"55","Italy",3422,15240.5432584271
"56","Italy",3284,15068.2099250937
"57","Italy",3055,14607.8765917604
"58","Italy",2757,14505.5432584271
"59","Italy",2304,14050.2099250937
"60","Italy",2141,13932.8765917604
"61","Italy",1981,13651.3765917604
"62","Italy",2086,13667.0494382023
"63","Italy",2360,13371.4494382024
"64","Italy",2797,13005.2494382024
"65","Italy",2991,12502.8494382023
"66","Italy",3097,12458.0494382024
"67","Italy",3224,12189.8494382023
"68","Italy",2673,11964.8494382023
"69","Italy",2311,11774.4494382024
"70","Italy",1939,11587.0494382024
"71","Italy",1656,11406.6494382023
"72","Italy",1323,11409.4494382023
"73","Italy",1069,11074.4494382023
"74","Italy",821,11182.6494382023
"75","Italy",477,10954.2494382024
"76","Italy",479,11217.0494382024
"77","Italy",268,11128.0494382024
"78","Italy",202,10994.2494382024
"79","Italy",177,11059.2494382024
"80","Italy",126,11322.4494382023
"81","Italy",92,11565.8494382024
"82","Italy",82,11329.8494382023
"83","Italy",119,11740.8494382024
"84","Italy",152,11630.4494382024
"85","Italy",212,11983.6494382023
"86","Italy",319,11170.6494382024
"87","Italy",342,10765.8494382023
"88","Italy",422,10718.6494382024
"89","Italy",404,10537.8494382024
"90","Italy",391,10596.6494382024
"91","Italy",387,10719.8494382023
"92","Italy",334,10797.2494382023
"93","Italy",270,11049.2494382024
"94","Italy",240,11582.2494382024
"95","Italy",285,11463.8494382023
"96","Italy",274,11619.8494382024
"97","Italy",291,11374.4494382023
"98","Italy",384,11676.4494382024
"99","Italy",402,11875.8494382024
"100","Italy",497,11922.6494382023
"101","Italy",521,11954.6494382023
"102","Italy",636,12318.2494382024
"103","Italy",810,12721.4494382023
"104","Italy",970,13187.6494382023
"105","Italy",1035,13737.8494382023
"106","Italy",1392,14854.0556179782
"107","Italy",2066,15183.5556179776
"108","Italy",2419,15011.2222846443
"109","Italy",2626,14550.888951311
"110","Italy",2622,14448.5556179776
"111","Italy",2244,13993.2222846443
"112","Italy",1974,13875.888951311
"113","Italy",1571,13594.388951311
"114","Italy",1327,13610.0617977529
"115","Italy",981,13314.4617977529
"116","Italy",917,12948.2617977529
"117","Italy",997,12445.8617977529
"118","Italy",1002,12401.0617977529
"119","Italy",964,12132.8617977529
"120","Italy",939,11907.8617977529
"121","Italy",1001,11717.4617977529
"122","Italy",924,11530.0617977529
"123","Italy",877,11349.6617977529
"124","Italy",755,11352.4617977529
"125","Italy",708,11017.4617977529
"126","Italy",617,11125.6617977529
"127","Italy",380,10897.2617977529
"128","Italy",442,11160.0617977529
"129","Italy",330,11071.0617977529
"130","Italy",381,10937.2617977529
"131","Italy",443,11002.2617977529
"132","Italy",561,11265.4617977529
"133","Italy",819,11508.8617977529
"134","Italy",950,11272.8617977529
"135","Italy",1211,11683.8617977529
"136","Italy",1050,11573.4617977529
"137","Italy",924,11926.6617977529
"138","Italy",662,11113.6617977529
"139","Italy",625,10708.8617977529
"140","Italy",485,10661.6617977529
"141","Italy",406,10480.8617977529
"142","Italy",340,10539.6617977529
"143","Italy",302,10662.8617977529
"144","Italy",270,10740.2617977529
"145","Italy",369,10992.2617977529
"146","Italy",469,11525.2617977529
"147","Italy",606,11406.8617977529
"148","Italy",507,11562.8617977529
"149","Italy",335,11317.4617977529
"150","Italy",549,11619.4617977529
"151","Italy",533,11818.8617977529
"152","Italy",580,11865.6617977529
"153","Italy",635,11897.6617977529
