"","country_name","covid_deaths","expected_deaths"
"1","Mexico",0,16764.3419943772
"2","Mexico",0,16651.8419943809
"3","Mexico",0,16432.5086610476
"4","Mexico",0,16091.1753277143
"5","Mexico",0,15989.5086610476
"6","Mexico",0,16081.6753277143
"7","Mexico",0,15699.8419943809
"8","Mexico",0,15396.6753277143
"9","Mexico",0,15310.6103932574
"10","Mexico",0,14944.6103932574
"11","Mexico",0,14664.6103932574
"12","Mexico",3,14589.8103932574
"13","Mexico",17,14296.8103932574
"14","Mexico",74,14377.8103932574
"15","Mexico",202,14009.2103932574
"16","Mexico",390,13875.2103932574
"17","Mexico",665,14045.6103932574
"18","Mexico",803,13969.2103932574
"19","Mexico",1311,13917.4103932574
"20","Mexico",1712,13988.8103932574
"21","Mexico",2217,14186.2103932574
"22","Mexico",2536,13790.2103932574
"23","Mexico",3769,13730.6103932574
"24","Mexico",3442,13576.4103932574
"25","Mexico",4684,13776.2103932574
"26","Mexico",4823,13567.4103932574
"27","Mexico",3991,13694.2103932574
"28","Mexico",4367,13693.4103932574
"29","Mexico",4178,13809.4103932574
"30","Mexico",4496,13865.6103932574
"31","Mexico",4066,13941.0103932574
"32","Mexico",4552,13664.8103932574
"33","Mexico",4459,13724.2103932574
"34","Mexico",3723,13549.8103932574
"35","Mexico",3678,13485.8103932574
"36","Mexico",3400,13606.8103932574
"37","Mexico",3263,13793.4103932574
"38","Mexico",2672,13952.4103932574
"39","Mexico",2937,13679.6103932574
"40","Mexico",2658,13996.0103932574
"41","Mexico",1904,13981.0103932574
"42","Mexico",2386,14055.0103932574
"43","Mexico",2757,14119.0103932574
"44","Mexico",2971,14352.6103932574
"45","Mexico",3132,14363.4103932574
"46","Mexico",3515,14541.4103932574
"47","Mexico",3134,15081.0103932574
"48","Mexico",3979,14910.8103932574
"49","Mexico",4062,15005.8103932574
"50","Mexico",4236,15661.0103932574
"51","Mexico",4249,15694.8103932574
"52","Mexico",4224,16559.0103932574
"53","Mexico",4787,16472.2893258417
"54","Mexico",6493,17138.07879213
"55","Mexico",6998,17025.5787921338
"56","Mexico",8910,16806.2454588005
"57","Mexico",8922,16464.9121254672
"58","Mexico",7664,16363.2454588005
"59","Mexico",8007,16455.4121254672
"60","Mexico",5900,16073.5787921338
"61","Mexico",5608,15770.4121254672
"62","Mexico",4889,15684.3471910103
"63","Mexico",4106,15318.3471910103
"64","Mexico",3326,15038.3471910103
"65","Mexico",3587,14963.5471910103
"66","Mexico",2524,14670.5471910103
"67","Mexico",5191,14751.5471910103
"68","Mexico",3001,14382.9471910103
"69","Mexico",2608,14248.9471910103
"70","Mexico",2286,14419.3471910103
"71","Mexico",1752,14342.9471910103
"72","Mexico",1452,14291.1471910103
"73","Mexico",1210,14362.5471910103
"74","Mexico",1860,14559.9471910103
"75","Mexico",1025,14163.9471910103
"76","Mexico",1346,14104.3471910103
"77","Mexico",1037,13950.1471910103
"78","Mexico",1377,14149.9471910103
"79","Mexico",1058,13941.1471910103
"80","Mexico",1347,14067.9471910103
"81","Mexico",1362,14067.1471910103
"82","Mexico",2093,14183.1471910103
"83","Mexico",2610,14239.3471910103
"84","Mexico",3386,14314.7471910103
"85","Mexico",3747,14038.5471910103
"86","Mexico",4988,14097.9471910103
"87","Mexico",5010,13923.5471910103
"88","Mexico",4975,13859.5471910103
"89","Mexico",4608,13980.5471910103
"90","Mexico",3755,14167.1471910103
"91","Mexico",3947,14326.1471910103
"92","Mexico",3142,14053.3471910103
"93","Mexico",3494,14369.7471910103
"94","Mexico",2295,14354.7471910103
"95","Mexico",1878,14428.7471910103
"96","Mexico",2106,14492.7471910103
"97","Mexico",1369,14726.3471910103
"98","Mexico",1355,14737.1471910103
"99","Mexico",1283,14915.1471910103
"100","Mexico",1487,15454.7471910103
"101","Mexico",1344,15284.5471910103
"102","Mexico",1417,15379.5471910103
"103","Mexico",1215,16034.7471910103
"104","Mexico",924,16068.5471910103
"105","Mexico",785,16932.7471910103
"106","Mexico",790,17511.815589883
"107","Mexico",1076,17399.3155898868
"108","Mexico",1773,17179.9822565535
"109","Mexico",2710,16838.6489232201
"110","Mexico",3653,16736.9822565535
"111","Mexico",3151,16829.1489232201
"112","Mexico",2991,16447.3155898868
"113","Mexico",2398,16144.1489232201
"114","Mexico",1773,16058.0839887633
"115","Mexico",1244,15692.0839887633
"116","Mexico",969,15412.0839887633
"117","Mexico",678,15337.2839887632
"118","Mexico",473,15044.2839887633
"119","Mexico",502,15125.2839887633
"120","Mexico",219,14756.6839887633
"121","Mexico",185,14622.6839887633
"122","Mexico",205,14793.0839887633
"123","Mexico",16,14716.6839887633
"124","Mexico",131,14664.8839887633
"125","Mexico",152,14736.2839887633
"126","Mexico",151,14933.6839887633
"127","Mexico",249,14537.6839887633
