"","country_name","covid_deaths","expected_deaths"
"1","South Africa",0,10258.5169491528
"2","South Africa",0,9361.51694915253
"3","South Africa",0,9109.01694915253
"4","South Africa",0,8881.85028248587
"5","South Africa",0,9286.01694915254
"6","South Africa",0,9493.1836158192
"7","South Africa",0,9076.35028248587
"8","South Africa",0,9042.35028248587
"9","South Africa",0,9433.82033898302
"10","South Africa",0,9372.82033898302
"11","South Africa",0,9154.22033898303
"12","South Africa",0,9043.22033898302
"13","South Africa",2,9431.02033898302
"14","South Africa",9,9701.62033898303
"15","South Africa",14,9464.42033898303
"16","South Africa",29,9421.02033898303
"17","South Africa",33,9673.62033898302
"18","South Africa",44,10213.020338983
"19","South Africa",63,10205.620338983
"20","South Africa",70,10285.220338983
"21","South Africa",165,10174.420338983
"22","South Africa",254,10871.620338983
"23","South Africa",315,11521.820338983
"24","South Africa",482,11541.220338983
"25","South Africa",450,11368.420338983
"26","South Africa",526,11443.020338983
"27","South Africa",743,11653.020338983
"28","South Africa",880,11103.220338983
"29","South Africa",954,10901.820338983
"30","South Africa",1736,10600.020338983
"31","South Africa",1597,11095.820338983
"32","South Africa",2042,10964.620338983
"33","South Africa",1431,10676.620338983
"34","South Africa",1220,10477.420338983
"35","South Africa",969,10456.620338983
"36","South Africa",861,10730.620338983
"37","South Africa",558,10215.220338983
"38","South Africa",506,10111.020338983
"39","South Africa",445,10006.220338983
"40","South Africa",578,10421.020338983
"41","South Africa",804,9897.22033898302
"42","South Africa",691,9583.02033898302
"43","South Africa",497,9612.02033898302
"44","South Africa",443,9967.62033898302
"45","South Africa",398,9739.62033898302
"46","South Africa",432,9463.42033898302
"47","South Africa",662,9335.22033898302
"48","South Africa",574,9995.82033898302
"49","South Africa",729,10054.820338983
"50","South Africa",1070,9639.02033898302
"51","South Africa",1415,10282.020338983
"52","South Africa",2044,10225.620338983
"53","South Africa",2842,10225.620338983
"54","South Africa",3586,10227.5237288138
"55","South Africa",3942,9330.52372881351
"56","South Africa",3769,9078.02372881351
"57","South Africa",3290,8850.85706214684
"58","South Africa",2126,9255.02372881351
"59","South Africa",1609,9462.19039548018
"60","South Africa",1154,9045.35706214685
"61","South Africa",940,9011.35706214684
"62","South Africa",685,9402.827118644
"63","South Africa",648,9341.827118644
"64","South Africa",785,9123.22711864401
"65","South Africa",552,9012.227118644
"66","South Africa",324,9400.027118644
"67","South Africa",335,9670.62711864401
"68","South Africa",414,9433.427118644
"69","South Africa",412,9390.027118644
"70","South Africa",269,9642.627118644
"71","South Africa",318,10182.027118644
"72","South Africa",475,10174.627118644
"73","South Africa",592,10254.227118644
"74","South Africa",561,10143.427118644
"75","South Africa",611,10840.627118644
"76","South Africa",791,11490.827118644
"77","South Africa",937,11510.227118644
"78","South Africa",1198,11337.427118644
"79","South Africa",1940,11412.027118644
"80","South Africa",2449,11622.027118644
"81","South Africa",2570,11072.227118644
"82","South Africa",2916,10870.827118644
"83","South Africa",2416,10569.027118644
"84","South Africa",2622,11064.827118644
"85","South Africa",2328,10933.627118644
"86","South Africa",2280,10645.627118644
"87","South Africa",2174,10446.427118644
"88","South Africa",1824,10425.627118644
"89","South Africa",1458,10699.627118644
"90","South Africa",1297,10184.227118644
"91","South Africa",878,10080.027118644
"92","South Africa",728,9975.227118644
"93","South Africa",537,10390.027118644
"94","South Africa",295,9866.227118644
"95","South Africa",313,9552.027118644
"96","South Africa",252,9581.027118644
"97","South Africa",155,9936.627118644
"98","South Africa",152,9708.627118644
"99","South Africa",90,9432.427118644
"100","South Africa",223,9304.227118644
"101","South Africa",169,9964.827118644
"102","South Africa",171,10023.827118644
"103","South Africa",211,9608.027118644
"104","South Africa",466,10251.027118644
"105","South Africa",414,10194.627118644
"106","South Africa",674,10196.5305084747
"107","South Africa",911,9299.53050847448
"108","South Africa",813,9047.03050847447
"109","South Africa",1073,8819.86384180781
"110","South Africa",813,9224.03050847448
"111","South Africa",1158,9431.19717514115
"112","South Africa",1674,9014.36384180781
"113","South Africa",562,8980.36384180781
"114","South Africa",314,9371.83389830497
"115","South Africa",182,9310.83389830497
"116","South Africa",156,9092.23389830497
"117","South Africa",85,8981.23389830497
"118","South Africa",84,9369.03389830496
"119","South Africa",46,9639.63389830497
"120","South Africa",51,9402.43389830497
"121","South Africa",156,9359.03389830497
"122","South Africa",60,9611.63389830497
"123","South Africa",160,10151.033898305
"124","South Africa",232,10143.633898305
"125","South Africa",178,10223.233898305
"126","South Africa",213,10112.433898305
"127","South Africa",171,10809.633898305
"128","South Africa",167,11459.833898305
"129","South Africa",120,11479.233898305
"130","South Africa",127,11306.433898305
"131","South Africa",81,11381.033898305
"132","South Africa",64,11591.033898305
"133","South Africa",42,11041.233898305
"134","South Africa",25,10839.833898305
"135","South Africa",39,10538.033898305
"136","South Africa",0,11033.833898305
"137","South Africa",0,10902.633898305
"138","South Africa",84,10614.633898305
"139","South Africa",18,10415.433898305
"140","South Africa",24,10394.633898305
"141","South Africa",21,10668.633898305
"142","South Africa",17,10153.233898305
"143","South Africa",23,10049.033898305
"144","South Africa",16,9944.23389830497
"145","South Africa",9,10359.033898305
"146","South Africa",52,9835.23389830497
"147","South Africa",11,9521.03389830497
"148","South Africa",54,9550.03389830497
"149","South Africa",52,9905.63389830497
"150","South Africa",8,9677.63389830497
"151","South Africa",24,9401.43389830497
"152","South Africa",33,9273.23389830497
"153","South Africa",36,9933.83389830497
"154","South Africa",86,9992.83389830497
